Year	Age	Country	Sex	e0
1962	0	NLD	F	75,57
1963	0	NLD	F	75,78
1973	0	NZL_NP	F	75,14
1974	0	NZL_NP	F	75,13
1975	0	NZL_NP	F	75,55
1976	0	NZL_NP	F	75,67
1977	0	NZL_NP	F	75,58
1980	0	NZL_NP	F	75,79
1953	0	NOR	F	75,07
1954	0	NOR	F	75,09
1955	0	NOR	F	75,34
1956	0	NOR	F	75,53
1957	0	NOR	F	75,53
1958	0	NOR	F	75,53
1959	0	NOR	F	75,79
1960	0	NOR	F	75,86
1963	0	NOR	F	75,49
1981	0	POL	F	75
1988	0	POL	F	75,3
1989	0	POL	F	75,2
1990	0	POL	F	75,28
1991	0	POL	F	75,11
1992	0	POL	F	75,53
1993	0	POL	F	75,83
1980	0	PRT	F	75,17
1981	0	PRT	F	75,42
2011	0	RUS	F	75,6
2012	0	RUS	F	75,84
1987	0	SVK	F	75,1
1988	0	SVK	F	75,43
1989	0	SVK	F	75,29
1990	0	SVK	F	75,38
1991	0	SVK	F	75,26
1992	0	SVK	F	75,86
1984	0	SVN	F	75,28
1985	0	SVN	F	75,81
1972	0	ESP	F	75,64
1973	0	ESP	F	75,52
1974	0	ESP	F	75,93
1959	0	SWE	F	75,2
1961	0	SWE	F	75,38
1962	0	SWE	F	75,42
1963	0	SWE	F	75,61
1964	0	SWE	F	75,87
1964	0	CHE	F	75,11
1965	0	CHE	F	75,08
1966	0	CHE	F	75,26
1967	0	CHE	F	75,72
1968	0	CHE	F	75,53
1969	0	CHE	F	75,65
1982	0	TWN	F	75,01
1984	0	TWN	F	75,67
1985	0	TWN	F	75,78
1986	0	TWN	F	75,94
1967	0	GBR_NP	F	75,09
1971	0	GBR_NP	F	75,33
1972	0	GBR_NP	F	75,07
1973	0	GBR_NP	F	75,28
1974	0	GBR_NP	F	75,45
1975	0	GBR_NP	F	75,71
1976	0	GBR_NP	F	75,68
1972	0	USA	F	75,11
1973	0	USA	F	75,32
1974	0	USA	F	75,85
1964	0	UKR	F	75,03
1986	0	UKR	F	75,01
1989	0	UKR	F	75,19
2010	0	UKR	F	75,19
2011	0	UKR	F	75,85
2012	0	UKR	F	75,99
1967	0	GBRTENW	F	75,26
1970	0	GBRTENW	F	75,19
1971	0	GBRTENW	F	75,51
1972	0	GBRTENW	F	75,26
1973	0	GBRTENW	F	75,5
1974	0	GBRTENW	F	75,68
1975	0	GBRTENW	F	75,89
1976	0	GBRTENW	F	75,87
1967	0	GBRCENW	F	75,26
1970	0	GBRCENW	F	75,19
1971	0	GBRCENW	F	75,51
1972	0	GBRCENW	F	75,26
1973	0	GBRCENW	F	75,5
1974	0	GBRCENW	F	75,68
1975	0	GBRCENW	F	75,89
1976	0	GBRCENW	F	75,87
1980	0	GBR_SCO	F	75,22
1981	0	GBR_SCO	F	75,43
1982	0	GBR_SCO	F	75,29
1983	0	GBR_SCO	F	75,73
1984	0	GBR_SCO	F	75,92
1985	0	GBR_SCO	F	75,84
1978	0	GBR_NIR	F	75,14
1979	0	GBR_NIR	F	75,1
1980	0	GBR_NIR	F	75,2
1981	0	GBR_NIR	F	75,78
1982	0	GBR_NIR	F	75,62
1992	0	NZL_MA	F	75,18
1995	0	NZL_MA	F	75,02
2005	0	NZL_MA	F	75,34
2006	0	NZL_MA	F	75,67
2008	0	NZL_MA	F	75,64
1967	0	NZL_NM	F	75,21
1969	0	NZL_NM	F	75,24
1970	0	NZL_NM	F	75,11
1971	0	NZL_NM	F	75,58
1972	0	NZL_NM	F	75,25
1973	0	NZL_NM	F	75,6
1974	0	NZL_NM	F	75,53
1982	0	DEUTE	F	75,12
1983	0	DEUTE	F	75,46
1984	0	DEUTE	F	75,47
1985	0	DEUTE	F	75,45
1986	0	DEUTE	F	75,5
1987	0	DEUTE	F	75,96
1976	0	DEUTW	F	75,14
1977	0	DEUTW	F	75,85
1978	0	DEUTW	F	75,9
1993	0	AUS	M	75,04
1995	0	AUS	M	75,39
1996	0	AUS	M	75,45
1997	0	AUS	M	75,87
2000	0	AUT	M	75,09
2001	0	AUT	M	75,58
2002	0	AUT	M	75,77
2003	0	AUT	M	75,91
2002	0	BEL	M	75,08
2003	0	BEL	M	75,36
2004	0	BEL	M	75,97
1995	0	CAN	M	75,01
1996	0	CAN	M	75,38
1997	0	CAN	M	75,66
1998	0	CAN	M	75,9
2006	0	CHL	M	75,21
2008	0	CHL	M	75,28
2009	0	CHL	M	75,45
2010	0	CHL	M	75,38
2021	0	CHL	M	75,63
2019	0	HRV	M	75,36
2013	0	CZE	M	75,13
2014	0	CZE	M	75,7
2015	0	CZE	M	75,61
2017	0	CZE	M	75,97
2020	0	CZE	M	75,23
2003	0	DNK	M	75,03
2004	0	DNK	M	75,41
2005	0	DNK	M	75,94
2006	0	DNK	M	75,9
2024	0	EST	M	75,07
2003	0	FIN	M	75,13
2004	0	FIN	M	75,31
2005	0	FIN	M	75,53
2006	0	FIN	M	75,82
2007	0	FIN	M	75,87
2000	0	FRATNP	M	75,24
2001	0	FRATNP	M	75,43
2002	0	FRATNP	M	75,7
2003	0	FRATNP	M	75,81
2001	0	DEUTNP	M	75,28
2002	0	DEUTNP	M	75,44
2003	0	DEUTNP	M	75,51
1994	0	GRC	M	75,03
1996	0	GRC	M	75
1997	0	GRC	M	75,37
1998	0	GRC	M	75,44
1999	0	GRC	M	75,46
2000	0	GRC	M	75,52
2001	0	GRC	M	75,96
1991	0	HKG	M	75,23
1993	0	HKG	M	75,44
1986	0	ISL	M	75,4
1990	0	ISL	M	75,36
1995	0	ISL	M	75,94
2003	0	IRL	M	75,64
1990	0	ISR	M	75,31
1991	0	ISR	M	75,14
1993	0	ISR	M	75,48
1994	0	ISR	M	75,68
1995	0	ISR	M	75,6
1996	0	ITA	M	75,18
1997	0	ITA	M	75,54
1998	0	ITA	M	75,64
1986	0	JPN	M	75,27
1987	0	JPN	M	75,65
1988	0	JPN	M	75,59
1989	0	JPN	M	75,97
1990	0	JPN	M	75,94
2001	0	LUX	M	75,06
1997	0	NLD	M	75,16
1998	0	NLD	M	75,18
1999	0	NLD	M	75,33
2000	0	NLD	M	75,53
2001	0	NLD	M	75,81
2002	0	NLD	M	75,99
1998	0	NZL_NP	M	75,46
1999	0	NZL_NP	M	75,38
1996	0	NOR	M	75,37
1997	0	NOR	M	75,46
1998	0	NOR	M	75,53
1999	0	NOR	M	75,61
2000	0	NOR	M	75,95
2006	0	PRT	M	75,52
2007	0	PRT	M	75,94
2024	0	SVK	M	75,02
2008	0	SVN	M	75,42
2009	0	SVN	M	75,75
1997	0	ESP	M	75,33
1998	0	ESP	M	75,45
1999	0	ESP	M	75,46
2000	0	ESP	M	75,97
1992	0	SWE	M	75,36
1993	0	SWE	M	75,49
1994	0	CHE	M	75,14
1995	0	CHE	M	75,29
1996	0	CHE	M	75,93
2007	0	TWN	M	75,14
2008	0	TWN	M	75,31
2009	0	TWN	M	75,81
2011	0	TWN	M	75,81
2000	0	GBR_NP	M	75,38
2001	0	GBR_NP	M	75,69
2002	0	GBR_NP	M	75,84
2006	0	USA	M	75,23
2007	0	USA	M	75,51
2008	0	USA	M	75,64
2023	0	USA	M	75,99
1999	0	GBRTENW	M	75,12
2000	0	GBRTENW	M	75,62
2001	0	GBRTENW	M	75,94
1999	0	GBRCENW	M	75,12
2000	0	GBRCENW	M	75,62
2001	0	GBRCENW	M	75,94
2008	0	GBR_SCO	M	75,26
2009	0	GBR_SCO	M	75,89
2001	0	GBR_NIR	M	75,18
2002	0	GBR_NIR	M	75,37
2003	0	GBR_NIR	M	75,86
2004	0	GBR_NIR	M	75,98
2005	0	GBR_NIR	M	75,95
1996	0	NZL_NM	M	75,15
1997	0	NZL_NM	M	75,53
2004	0	DEUTE	M	75,16
2005	0	DEUTE	M	75,45
2006	0	DEUTE	M	75,75
2000	0	DEUTW	M	75,13
2001	0	DEUTW	M	75,51
2002	0	DEUTW	M	75,68
2003	0	DEUTW	M	75,74
2006	0	KOR	M	75,43
2007	0	KOR	M	75,85
