Year	Age	Country	Sex	e0
1972	0	AUS	F	75,31
1973	0	AUS	F	75,71
1974	0	AUS	F	75,5
1976	0	AUT	F	75,06
1977	0	AUT	F	75,44
1978	0	AUT	F	75,65
1979	0	AUT	F	75,97
1961	0	BLR	F	75,56
1970	0	BLR	F	75,96
1980	0	BLR	F	75,59
1983	0	BLR	F	75,94
1984	0	BLR	F	75,52
1985	0	BLR	F	75,26
1990	0	BLR	F	75,79
1991	0	BLR	F	75,45
1992	0	BLR	F	75,34
2005	0	BLR	F	75
2006	0	BLR	F	75,44
1974	0	BEL	F	75,23
1975	0	BEL	F	75,21
1976	0	BEL	F	75,41
1993	0	BGR	F	75,11
1999	0	BGR	F	75,1
2000	0	BGR	F	75,01
2001	0	BGR	F	75,4
2002	0	BGR	F	75,58
2003	0	BGR	F	75,98
2021	0	BGR	F	75,1
1964	0	CAN	F	75,08
1965	0	CAN	F	75,15
1966	0	CAN	F	75,39
1967	0	CAN	F	75,66
1968	0	CAN	F	75,79
1987	0	CZE	F	75,2
1988	0	CZE	F	75,35
1989	0	CZE	F	75,43
1990	0	CZE	F	75,4
1991	0	CZE	F	75,75
1967	0	DNK	F	75,36
1968	0	DNK	F	75,58
1969	0	DNK	F	75,7
1970	0	DNK	F	75,92
1974	0	EST	F	75,06
1986	0	EST	F	75,1
1987	0	EST	F	75,06
1988	0	EST	F	75,02
1996	0	EST	F	75,59
1997	0	EST	F	75,93
1998	0	EST	F	75,44
1972	0	FIN	F	75,03
1973	0	FIN	F	75,68
1974	0	FIN	F	75,56
1966	0	FRATNP	F	75,18
1967	0	FRATNP	F	75,2
1968	0	FRATNP	F	75,22
1969	0	FRATNP	F	75,05
1970	0	FRATNP	F	75,81
1971	0	FRATNP	F	75,88
1996	0	HUN	F	75
1997	0	HUN	F	75,45
1998	0	HUN	F	75,53
1999	0	HUN	F	75,5
1954	0	ISL	F	75,6
1955	0	ISL	F	75,91
1957	0	ISL	F	75,11
1958	0	ISL	F	75,95
1959	0	ISL	F	75,65
1960	0	ISL	F	75,76
1979	0	IRL	F	75,29
1980	0	IRL	F	75,39
1981	0	IRL	F	75,88
1972	0	ITA	F	75,2
1973	0	ITA	F	75,12
1974	0	ITA	F	75,9
1975	0	ITA	F	75,91
1971	0	JPN	F	75,48
1972	0	JPN	F	75,94
1986	0	LVA	F	75,08
1987	0	LVA	F	75,11
1988	0	LVA	F	75,14
1989	0	LVA	F	75,09
2000	0	LVA	F	75,71
2001	0	LVA	F	75,46
2002	0	LVA	F	75,85
2003	0	LVA	F	75,71
1964	0	LTU	F	75,05
1966	0	LTU	F	75,12
1967	0	LTU	F	75,48
1968	0	LTU	F	75,15
1969	0	LTU	F	75,01
1970	0	LTU	F	75,04
1972	0	LTU	F	75,45
1973	0	LTU	F	75,65
1974	0	LTU	F	75,71
1975	0	LTU	F	75,57
1976	0	LTU	F	75,87
1977	0	LTU	F	75,65
1978	0	LTU	F	75,43
1979	0	LTU	F	75,62
1980	0	LTU	F	75,63
1981	0	LTU	F	75,65
1982	0	LTU	F	75,99
1983	0	LTU	F	75,89
1984	0	LTU	F	75,57
1985	0	LTU	F	75,48
1991	0	LTU	F	75,81
1992	0	LTU	F	75,87
1996	0	LTU	F	75,79
1977	0	LUX	F	75,77
1978	0	LUX	F	75,26
1979	0	LUX	F	75,98
1980	0	LUX	F	75,16
1981	0	LUX	F	75,87
1959	0	NLD	F	75,17
1960	0	NLD	F	75,3
1961	0	NLD	F	75,73
