Year	Age	Country	Sex	e0
1990	0	AUS	F	80,15
1991	0	AUS	F	80,49
1992	0	AUS	F	80,48
1993	0	AUS	F	80,99
1994	0	AUS	F	80,82
1996	0	AUT	F	80,08
1997	0	AUT	F	80,54
1998	0	AUT	F	80,81
1999	0	AUT	F	80,83
1995	0	BEL	F	80,18
1996	0	BEL	F	80,46
1997	0	BEL	F	80,55
1998	0	BEL	F	80,56
1999	0	BEL	F	80,87
2000	0	BEL	F	80,89
1987	0	CAN	F	80,11
1988	0	CAN	F	80,19
1989	0	CAN	F	80,39
1990	0	CAN	F	80,63
1991	0	CAN	F	80,73
1992	0	CAN	F	80,98
1993	0	CAN	F	80,78
1994	0	CAN	F	80,88
1995	0	CAN	F	80,97
2002	0	CHL	F	80,41
2003	0	CHL	F	80,44
2004	0	CHL	F	80,46
2005	0	CHL	F	80,83
2007	0	CHL	F	80,72
2011	0	HRV	F	80,21
2012	0	HRV	F	80,48
2013	0	HRV	F	80,8
2014	0	HRV	F	80,88
2015	0	HRV	F	80,44
2017	0	HRV	F	80,87
2020	0	HRV	F	80,85
2007	0	CZE	F	80,08
2008	0	CZE	F	80,31
2009	0	CZE	F	80,3
2010	0	CZE	F	80,64
2011	0	CZE	F	80,86
2012	0	CZE	F	80,98
2021	0	CZE	F	80,51
2004	0	DNK	F	80,11
2005	0	DNK	F	80,45
2006	0	DNK	F	80,51
2007	0	DNK	F	80,53
2008	0	DNK	F	80,92
2009	0	EST	F	80,02
2010	0	EST	F	80,51
2011	0	EST	F	80,97
1994	0	FIN	F	80,15
1995	0	FIN	F	80,21
1996	0	FIN	F	80,55
1997	0	FIN	F	80,51
1998	0	FIN	F	80,84
1987	0	FRATNP	F	80,29
1988	0	FRATNP	F	80,48
1989	0	FRATNP	F	80,66
1990	0	FRATNP	F	80,97
1997	0	DEUTNP	F	80,27
1998	0	DEUTNP	F	80,54
1999	0	DEUTNP	F	80,75
2000	0	DEUTNP	F	80,99
1993	0	GRC	F	80,07
1994	0	GRC	F	80,31
1995	0	GRC	F	80,4
1996	0	GRC	F	80,56
1997	0	GRC	F	80,88
1998	0	GRC	F	80,75
1999	0	GRC	F	80,94
1989	0	HKG	F	80,08
1990	0	HKG	F	80,22
1991	0	HKG	F	80,77
1992	0	HKG	F	80,73
1980	0	ISL	F	80,07
1983	0	ISL	F	80,35
1984	0	ISL	F	80,19
1985	0	ISL	F	80,33
1986	0	ISL	F	80,76
1989	0	ISL	F	80,1
1990	0	ISL	F	80,53
1992	0	ISL	F	80,72
1993	0	ISL	F	80,81
1995	0	ISL	F	80,07
2002	0	IRL	F	80,28
2003	0	IRL	F	80,58
1996	0	ISR	F	80,14
1997	0	ISR	F	80,18
1998	0	ISR	F	80,48
1999	0	ISR	F	80,58
2000	0	ISR	F	80,92
1989	0	ITA	F	80,15
1990	0	ITA	F	80,25
1991	0	ITA	F	80,3
1992	0	ITA	F	80,66
1993	0	ITA	F	80,83
1984	0	JPN	F	80,26
1985	0	JPN	F	80,55
1986	0	JPN	F	80,98
2019	0	LVA	F	80,02
2023	0	LVA	F	80,51
2017	0	LTU	F	80,39
2018	0	LTU	F	80,61
2020	0	LTU	F	80,07
2022	0	LTU	F	80,13
1998	0	LUX	F	80,13
1999	0	LUX	F	80,73
2000	0	LUX	F	80,81
2001	0	LUX	F	80,46
2003	0	LUX	F	80,8
1987	0	NLD	F	80,04
1988	0	NLD	F	80,22
1990	0	NLD	F	80,09
1991	0	NLD	F	80,14
1992	0	NLD	F	80,28
1994	0	NLD	F	80,3
1995	0	NLD	F	80,36
1996	0	NLD	F	80,32
1997	0	NLD	F	80,53
1998	0	NLD	F	80,67
1999	0	NLD	F	80,44
2000	0	NLD	F	80,56
2001	0	NLD	F	80,7
2002	0	NLD	F	80,68
2003	0	NLD	F	80,93
1997	0	NZL_NP	F	80,06
1998	0	NZL_NP	F	80,79
1999	0	NZL_NP	F	80,37
2001	0	NZL_NP	F	80,99
1991	0	NOR	F	80,09
1992	0	NOR	F	80,35
1993	0	NOR	F	80,24
1994	0	NOR	F	80,65
1995	0	NOR	F	80,81
1997	0	NOR	F	80,97
2010	0	POL	F	80,43
2011	0	POL	F	80,72
2012	0	POL	F	80,74
2013	0	POL	F	80,88
2020	0	POL	F	80,61
2000	0	PRT	F	80,35
2001	0	PRT	F	80,68
2002	0	PRT	F	80,82
2003	0	PRT	F	80,86
2014	0	SVK	F	80,22
2015	0	SVK	F	80,01
2016	0	SVK	F	80,43
2017	0	SVK	F	80,46
2018	0	SVK	F	80,47
2019	0	SVK	F	80,85
2020	0	SVK	F	80,21
2022	0	SVK	F	80,42
2001	0	SVN	F	80,25
2002	0	SVN	F	80,44
