Year	Age	Country	Sex	e0
2003	0	SVN	F	80,3
2004	0	SVN	F	80,7
2005	0	SVN	F	80,86
1987	0	ESP	F	80,24
1988	0	ESP	F	80,29
1989	0	ESP	F	80,5
1990	0	ESP	F	80,56
1991	0	ESP	F	80,75
1986	0	SWE	F	80,02
1987	0	SWE	F	80,14
1989	0	SWE	F	80,56
1990	0	SWE	F	80,4
1991	0	SWE	F	80,54
1992	0	SWE	F	80,78
1993	0	SWE	F	80,78
1984	0	CHE	F	80,04
1985	0	CHE	F	80,16
1986	0	CHE	F	80,3
1987	0	CHE	F	80,66
1988	0	CHE	F	80,73
1989	0	CHE	F	80,94
1990	0	CHE	F	80,71
2003	0	TWN	F	80,04
2004	0	TWN	F	80,35
2005	0	TWN	F	80,5
2000	0	GBR_NP	F	80,19
2001	0	GBR_NP	F	80,42
2002	0	GBR_NP	F	80,51
2003	0	GBR_NP	F	80,49
2004	0	USA	F	80,06
2005	0	USA	F	80,07
2006	0	USA	F	80,33
2007	0	USA	F	80,56
2008	0	USA	F	80,59
2009	0	USA	F	80,91
2022	0	USA	F	80,3
2000	0	GBRTENW	F	80,37
2001	0	GBRTENW	F	80,59
2002	0	GBRTENW	F	80,69
2003	0	GBRTENW	F	80,65
2000	0	GBRCENW	F	80,37
2001	0	GBRCENW	F	80,59
2002	0	GBRCENW	F	80,69
2003	0	GBRCENW	F	80,65
2009	0	GBR_SCO	F	80,4
2010	0	GBR_SCO	F	80,59
2011	0	GBR_SCO	F	80,8
2012	0	GBR_SCO	F	80,78
2020	0	GBR_SCO	F	80,72
2021	0	GBR_SCO	F	80,52
2022	0	GBR_SCO	F	80,9
2001	0	GBR_NIR	F	80,34
2002	0	GBR_NIR	F	80,28
2003	0	GBR_NIR	F	80,62
2004	0	GBR_NIR	F	80,72
1994	0	NZL_NM	F	80,04
1996	0	NZL_NM	F	80,22
1997	0	NZL_NM	F	80,92
1999	0	DEUTE	F	80,39
2000	0	DEUTE	F	80,68
2002	0	DEUTE	F	80,99
1996	0	DEUTW	F	80,09
1997	0	DEUTW	F	80,45
1998	0	DEUTW	F	80,69
1999	0	DEUTW	F	80,83
2003	0	KOR	F	80,7
2012	0	AUS	M	80,26
2013	0	AUS	M	80,46
2014	0	AUS	M	80,52
2015	0	AUS	M	80,56
2016	0	AUS	M	80,75
2017	0	AUS	M	80,68
2024	0	BEL	M	80,16
2019	0	CAN	M	80,12
2024	0	DNK	M	80,17
2023	0	FRATNP	M	80,01
2011	0	HKG	M	80,19
2012	0	HKG	M	80,3
2013	0	HKG	M	80,83
2022	0	HKG	M	80,69
2011	0	ISL	M	80,36
2013	0	ISL	M	80,29
2015	0	ISL	M	80,98
2016	0	ISL	M	80,19
2017	0	ISL	M	80,68
2018	0	ISL	M	80,97
2022	0	ISL	M	80,67
2023	0	ISL	M	80,6
2020	0	IRL	M	80
2022	0	IRL	M	80,17
2013	0	ISR	M	80,28
2014	0	ISR	M	80,33
2015	0	ISR	M	80,12
2016	0	ISR	M	80,65
2013	0	ITA	M	80,2
2014	0	ITA	M	80,49
2015	0	ITA	M	80,22
2016	0	ITA	M	80,73
2017	0	ITA	M	80,45
2018	0	ITA	M	80,95
2021	0	ITA	M	80,27
2022	0	ITA	M	80,54
2013	0	JPN	M	80,17
2014	0	JPN	M	80,45
2015	0	JPN	M	80,72
2016	0	JPN	M	80,92
2021	0	LUX	M	80,36
2022	0	LUX	M	80,6
2017	0	NLD	M	80,07
2018	0	NLD	M	80,16
2019	0	NLD	M	80,47
2022	0	NLD	M	80,12
2023	0	NLD	M	80,31
2016	0	NZL_NP	M	80,22
2018	0	NZL_NP	M	80,15
2019	0	NZL_NP	M	80
2020	0	NZL_NP	M	80,85
2021	0	NZL_NP	M	80,56
2014	0	NOR	M	80,03
2015	0	NOR	M	80,37
2016	0	NOR	M	80,62
2017	0	NOR	M	80,92
2022	0	NOR	M	80,92
2014	0	ESP	M	80
2016	0	ESP	M	80,17
2017	0	ESP	M	80,24
2018	0	ESP	M	80,34
2019	0	ESP	M	80,73
2021	0	ESP	M	80,15
2022	0	ESP	M	80,32
2013	0	SWE	M	80,1
2014	0	SWE	M	80,35
2015	0	SWE	M	80,32
2016	0	SWE	M	80,57
2017	0	SWE	M	80,73
2018	0	SWE	M	80,79
2020	0	SWE	M	80,6
2010	0	CHE	M	80,03
2011	0	CHE	M	80,29
2012	0	CHE	M	80,46
2013	0	CHE	M	80,51
2014	0	CHE	M	80,92
2015	0	CHE	M	80,69
2020	0	CHE	M	80,99
2019	0	KOR	M	80,33
2020	0	KOR	M	80,56
2021	0	KOR	M	80,67
2023	0	KOR	M	80,63
